vacancy_id,resume_id,selection_bucket,auto_score,skill_overlap,text_overlap,exp_score,meta_score,vacancy_title,resume_title,last_position,vacancy_required_skills,resume_skills
V00001,R00059,borderline,0.161403,0.0,0.021611,0.9,0.14,Software Developer - .Net,"C/C++ Developer, Python Developer",Mathematical Software,.NET;ASP.NET;C#;Entity Framework;MS SQL;Web API;jQuery,
V00001,R00010,borderline,0.158162,0.142857,0.075506,0.4,0.1,Software Developer - .Net,Defined architecture of new IOS Apps and developed them broadly from engineering and,with QA on implementing automation testing,.NET;ASP.NET;C#;Entity Framework;MS SQL;Web API;jQuery,Web API
V00001,R00046,borderline,0.157528,0.142857,0.072968,0.4,0.1,Software Developer - .Net,"My name is Maria, Im a new repatriate from Russia, made an Aliyah in April. I work as a senior system",September 2019 Senior Team Manager,.NET;ASP.NET;C#;Entity Framework;MS SQL;Web API;jQuery,MS SQL
V00001,R00031,borderline,0.157209,0.0,0.034836,0.85,0.14,Software Developer - .Net,Front End Developer,Front End Developer,.NET;ASP.NET;C#;Entity Framework;MS SQL;Web API;jQuery,
V00001,R00033,borderline,0.15392,0.1375,0.068182,0.4,0.1,Software Developer - .Net,Experienced Python Developer LinkedIn: fedor-ezeev,Looking for a job as a Server Side Python Developer or Backend Python Programming languages:,.NET;ASP.NET;C#;Entity Framework;MS SQL;Web API;jQuery,MS SQL;PostgreSQL
V00001,R00038,borderline,0.1535,0.0,0.05,0.8,0.14,Software Developer - .Net,Backend Developer,Golang Developer,.NET;ASP.NET;C#;Entity Framework;MS SQL;Web API;jQuery,Docker;Kafka;MongoDB;PostgreSQL
V00001,R00028,random_negative,0.149232,0.1375,0.04943,0.4,0.1,Software Developer - .Net,PHP/NodeJS full-stack developer. BA in Ariel University in,Full-stack Developer Sep 2019,.NET;ASP.NET;C#;Entity Framework;MS SQL;Web API;jQuery,MongoDB;jQuery
V00001,R00016,random_negative,0.146484,0.133333,0.045936,0.4,0.1,Software Developer - .Net,Software Developer / Linux Kernel Developer / Database developer,Linux Kernel Developer / Senior Linux Kernel Developer,.NET;ASP.NET;C#;Entity Framework;MS SQL;Web API;jQuery,Docker;PostgreSQL;jQuery
V00001,R00050,random_negative,0.146472,0.133333,0.045889,0.4,0.1,Software Developer - .Net,Web Developer,"Web-developer at Digital Dream LLC, Ulyanovsk",.NET;ASP.NET;C#;Entity Framework;MS SQL;Web API;jQuery,Docker;PostgreSQL;jQuery
V00001,R00022,random_negative,0.087939,0.0,0.051756,0.4,0.1,Software Developer - .Net,Frontend Developer/ Full stack Developer,"Gold ventures investment Israel, Java software developer",.NET;ASP.NET;C#;Entity Framework;MS SQL;Web API;jQuery,MongoDB;PostgreSQL
V00001,R00013,random_negative,0.087327,0.0,0.04931,0.4,0.1,Software Developer - .Net,Full-Stack Developer,WORK Tanndu Full Stack Developer ( now),.NET;ASP.NET;C#;Entity Framework;MS SQL;Web API;jQuery,AWS;Docker;MongoDB;PostgreSQL
V00001,R00053,random_negative,0.081109,0.0,0.024436,0.4,0.1,Software Developer - .Net,"Embedded Linux Engineer, 23 y.o. nazaryev.ru",2019 Embedded Linux Platform Engineer @ Cogent Embedded,.NET;ASP.NET;C#;Entity Framework;MS SQL;Web API;jQuery,Docker
V00001,R00048,top,0.680265,0.84,0.045061,1.0,0.94,Software Developer - .Net,"Senior .Net developer with 10+ years experience in architecture analysis, software design and",Frameworks Databases DevOps,.NET;ASP.NET;C#;Entity Framework;MS SQL;Web API;jQuery,.NET;ASP.NET;AWS;Azure;C#;Docker;Entity Framework;Kafka;MS SQL;MongoDB;PostgreSQL;WPF;Web API;WinForms;jQuery
V00001,R00018,top,0.563179,0.78,0.068716,0.4,0.9,Software Developer - .Net,", Senior .NET Engineer, ""","Full Stack Engineer, , Jerusalem, Israel",.NET;ASP.NET;C#;Entity Framework;MS SQL;Web API;jQuery,.NET;ASP.NET;AWS;Azure;C#;Entity Framework;MS SQL;MongoDB;Web API
V00001,R00006,top,0.534479,0.714286,0.078203,0.8,0.49,Software Developer - .Net,Senior solution architect with wide experience of creating and maintaining IT systems. Deep knowledge of,"C#, JavaScript, SQL, PHP and many other technologies; 10+ experience in Microsoft technologies. I've",.NET;ASP.NET;C#;Entity Framework;MS SQL;Web API;jQuery,.NET;ASP.NET;C#;MS SQL;jQuery
V00001,R00063,top,0.43669,0.55,0.072758,1.0,0.14,Software Developer - .Net,FRONTEND DEVELOPER,"Programming language: JavaScript, Python, Java, C#, .NET.",.NET;ASP.NET;C#;Entity Framework;MS SQL;Web API;jQuery,.NET;C#;MongoDB;Web API;jQuery
V00001,R00056,top,0.410841,0.381818,0.062092,1.0,0.49,Software Developer - .Net,LEONID SHALAEV FULL STACK DEVELOPER with 1+ year experience,"Programming languages: Java, JavaScript, TypeScript, C#, C++, PHP, Pascal, Assembler, VBA",.NET;ASP.NET;C#;Entity Framework;MS SQL;Web API;jQuery,C#;Docker;Kafka;MongoDB;PostgreSQL;Web API;jQuery
V00001,R00065,top,0.368531,0.285714,0.065836,1.0,0.49,Software Developer - .Net,Frontend developer,"Programming languages: JavaScript ES6+, familiar with Java, C#, C++/C.",.NET;ASP.NET;C#;Entity Framework;MS SQL;Web API;jQuery,ASP.NET;C#
V00001,R00054,top,0.359229,0.275,0.047917,1.0,0.49,Software Developer - .Net,QA Automation Engineer,A QA Automation Engineer Master degree of Computer Arcadia inc.,.NET;ASP.NET;C#;Entity Framework;MS SQL;Web API;jQuery,Azure;C#;MS SQL
V00001,R00042,top,0.323777,0.39,0.083106,0.4,0.45,Software Developer - .Net,Junior Java backend developer,Engineer Ural State University of Economics,.NET;ASP.NET;C#;Entity Framework;MS SQL;Web API;jQuery,.NET;AWS;C#;Docker;Entity Framework;WPF
V00002,R00062,borderline,0.136393,0.0,0.065574,0.7,0.1,Remote Software Developer,NETWORK ENGINEER,Network Engineer,PostgreSQL,
V00002,R00065,borderline,0.136018,0.0,0.064073,0.7,0.1,Remote Software Developer,Frontend developer,"Programming languages: JavaScript ES6+, familiar with Java, C#, C++/C.",PostgreSQL,ASP.NET;C#
V00002,R00032,borderline,0.135982,0.0,0.063927,0.7,0.1,Remote Software Developer,"I'm a business analyst with 6,5 years of experience in the software industry and 4,5 years",(Moscow Engineering Physics Institute),PostgreSQL,Web API
V00002,R00063,borderline,0.135393,0.0,0.061571,0.7,0.1,Remote Software Developer,FRONTEND DEVELOPER,"Programming language: JavaScript, Python, Java, C#, .NET.",PostgreSQL,.NET;C#;MongoDB;Web API;jQuery
V00002,R00023,borderline,0.135222,0.0,0.06089,0.7,0.1,Remote Software Developer,5 years of total experience in development web frontend (70%) and development Java backend (30%).,"Software Architecture: OOP, JSON, Design Patterns, Microservices, Dependency Injection.",PostgreSQL,Kafka;MongoDB;jQuery
V00002,R00001,borderline,0.13506,0.0,0.060241,0.7,0.1,Remote Software Developer,Java full stack developer,"2020 - now: Backend JAVA developer, (Israel, Rehovot)",PostgreSQL,MongoDB;jQuery
V00002,R00054,random_negative,0.129129,0.0,0.036517,0.7,0.1,Remote Software Developer,QA Automation Engineer,A QA Automation Engineer Master degree of Computer Arcadia inc.,PostgreSQL,Azure;C#;MS SQL
V00002,R00059,random_negative,0.128713,0.0,0.034853,0.7,0.1,Remote Software Developer,"C/C++ Developer, Python Developer",Mathematical Software,PostgreSQL,
V00002,R00043,random_negative,0.127124,0.0,0.028497,0.7,0.1,Remote Software Developer,ANALYTICS LEAD,Competitve Analytics Team Lead,PostgreSQL,Kafka
V00002,R00052,random_negative,0.12646,0.0,0.02584,0.7,0.1,Remote Software Developer,Dependable Game Developer with more than 11 years of experience. nmail.com,Stated developer carrier as AS 3 developer and after 4 years switched to,PostgreSQL,C#;WPF
V00002,R00014,random_negative,0.100321,0.0,0.041284,0.5,0.1,Remote Software Developer,"developer, namely studying interaction of HTML, CSS and JavaScript.","developer, namely studying interaction of HTML, CSS and JavaScript.",PostgreSQL,MS SQL
V00002,R00024,random_negative,0.097746,0.0,0.030986,0.5,0.1,Remote Software Developer,FRONT END DEVELOPER,Front End Developer,PostgreSQL,Web API
V00002,R00005,top,0.566671,0.85,0.046683,0.7,0.45,Remote Software Developer,Front-end Developer,• Worked with team of developers to resolve front-end and CSS issues,PostgreSQL,PostgreSQL;jQuery
V00002,R00009,top,0.547894,0.8,0.061576,0.7,0.45,Remote Software Developer,"Frontend developer with extensive experience designing, developing, implementing, and","maintaining software used in sales, rental apartments, e-commerce, and human resources.",PostgreSQL,Docker;PostgreSQL;jQuery
V00002,R00040,top,0.539037,0.85,0.05615,0.5,0.45,Remote Software Developer,"Experience in the full cycle of creating web applications: architecture, server, code,","Experience in the full cycle of creating web applications: architecture, server, code,",PostgreSQL,Docker;PostgreSQL
V00002,R00050,top,0.519296,0.8,0.067183,0.5,0.45,Remote Software Developer,Web Developer,"Web-developer at Digital Dream LLC, Ulyanovsk",PostgreSQL,Docker;PostgreSQL;jQuery
V00002,R00016,top,0.518161,0.8,0.062645,0.5,0.45,Remote Software Developer,Software Developer / Linux Kernel Developer / Database developer,Linux Kernel Developer / Senior Linux Kernel Developer,PostgreSQL,Docker;PostgreSQL;jQuery
V00002,R00013,top,0.503783,0.775,0.050132,0.5,0.45,Remote Software Developer,Full-Stack Developer,WORK Tanndu Full Stack Developer ( now),PostgreSQL,AWS;Docker;MongoDB;PostgreSQL
V00002,R00027,top,0.503182,0.775,0.047727,0.5,0.45,Remote Software Developer,"2022, February Senior Software Developer (Python)","2022, February Senior Software Developer (Python)",PostgreSQL,Docker;Kafka;MongoDB;PostgreSQL
V00002,R00033,top,0.490943,0.85,0.07377,0.5,0.1,Remote Software Developer,Experienced Python Developer LinkedIn: fedor-ezeev,Looking for a job as a Server Side Python Developer or Backend Python Programming languages:,PostgreSQL,MS SQL;PostgreSQL
V00003,R00051,borderline,0.132604,0.0,0.026415,0.7,0.14,Junior Level Software Developer (1-4 years experience),Full Stack Developer (Golang / JS / TS),"as a Full Stack Developer, the backend language is Golang, also",,Docker;MongoDB;PostgreSQL;Web API
V00003,R00032,borderline,0.132309,0.0,0.025237,0.7,0.14,Junior Level Software Developer (1-4 years experience),"I'm a business analyst with 6,5 years of experience in the software industry and 4,5 years",(Moscow Engineering Physics Institute),,Web API
V00003,R00052,borderline,0.132,0.0,0.024,0.7,0.14,Junior Level Software Developer (1-4 years experience),Dependable Game Developer with more than 11 years of experience. nmail.com,Stated developer carrier as AS 3 developer and after 4 years switched to,,C#;WPF
V00003,R00002,borderline,0.129704,0.0,0.014815,0.7,0.14,Junior Level Software Developer (1-4 years experience),WEB FRONTEND DEVELOPER,"2021-present: Frontend developer (remote, part-time)",,jQuery
V00003,R00030,borderline,0.128389,0.0,0.009554,0.7,0.14,Junior Level Software Developer (1-4 years experience),I am a Soware Engineer with 6+ years experience in development and,highload Java backends. I design and build crical parts for core business,,
V00003,R00054,borderline,0.128212,0.0,0.00885,0.7,0.14,Junior Level Software Developer (1-4 years experience),QA Automation Engineer,A QA Automation Engineer Master degree of Computer Arcadia inc.,,Azure;C#;MS SQL
V00003,R00039,random_negative,0.100465,0.0,0.04186,0.5,0.1,Junior Level Software Developer (1-4 years experience),Back-end Developer,PHP Developer (9 month),,Web API
V00003,R00018,random_negative,0.099868,0.0,0.039474,0.5,0.1,Junior Level Software Developer (1-4 years experience),", Senior .NET Engineer, ""","Full Stack Engineer, , Jerusalem, Israel",,.NET;ASP.NET;AWS;Azure;C#;Entity Framework;MS SQL;MongoDB;Web API
V00003,R00022,random_negative,0.098803,0.0,0.035211,0.5,0.1,Junior Level Software Developer (1-4 years experience),Frontend Developer/ Full stack Developer,"Gold ventures investment Israel, Java software developer",,MongoDB;PostgreSQL
V00003,R00057,random_negative,0.098734,0.0,0.034934,0.5,0.1,Junior Level Software Developer (1-4 years experience),FRONTEND WEB DEVELOPER.,Frontend Web Developer,,Docker
V00003,R00044,random_negative,0.098651,0.0,0.034602,0.5,0.1,Junior Level Software Developer (1-4 years experience),SENIOR JAVA FULL STACK DEVELOPER,"Team lead (group of 3-7 people), more than 20 years of experience in software development",,PostgreSQL;jQuery
V00003,R00050,random_negative,0.095639,0.0,0.022556,0.5,0.1,Junior Level Software Developer (1-4 years experience),Web Developer,"Web-developer at Digital Dream LLC, Ulyanovsk",,Docker;PostgreSQL;jQuery
V00003,R00025,top,0.199481,0.0,0.047923,0.7,0.55,Junior Level Software Developer (1-4 years experience),Full-Stack Developer with 3+ years of experience looking for a full time position,"80% - backend Java development, 20% - frontend React development",,Docker;Kafka;MongoDB;PostgreSQL
V00003,R00035,top,0.189944,0.0,0.045775,0.7,0.49,Junior Level Software Developer (1-4 years experience),FULL STACK JAVA DEVELOPER,"Software Architecture: OOP, JSON, REST, Design Patterns, CI-CD, Microservices, Dependency Injection",,Kafka;MongoDB;PostgreSQL;jQuery
V00003,R00043,top,0.189724,0.0,0.044898,0.7,0.49,Junior Level Software Developer (1-4 years experience),ANALYTICS LEAD,Competitve Analytics Team Lead,,Kafka
V00003,R00063,top,0.189401,0.0,0.043605,0.7,0.49,Junior Level Software Developer (1-4 years experience),FRONTEND DEVELOPER,"Programming language: JavaScript, Python, Java, C#, .NET.",,.NET;C#;MongoDB;Web API;jQuery
V00003,R00062,top,0.1842,0.0,0.022801,0.7,0.49,Junior Level Software Developer (1-4 years experience),NETWORK ENGINEER,Network Engineer,,
V00003,R00046,top,0.156705,0.0,0.056818,0.5,0.45,Junior Level Software Developer (1-4 years experience),"My name is Maria, Im a new repatriate from Russia, made an Aliyah in April. I work as a senior system",September 2019 Senior Team Manager,,MS SQL
V00003,R00017,top,0.148524,0.0,0.024096,0.5,0.45,Junior Level Software Developer (1-4 years experience),iOS developer,iOS developer,,.NET;C#;MongoDB;PostgreSQL;jQuery
V00003,R00001,top,0.146364,0.0,0.045455,0.7,0.2,Junior Level Software Developer (1-4 years experience),Java full stack developer,"2020 - now: Backend JAVA developer, (Israel, Rehovot)",,MongoDB;jQuery
V00004,R00010,borderline,0.14267,0.0,0.06068,0.4,0.45,Backend Software Developer,Defined architecture of new IOS Apps and developed them broadly from engineering and,with QA on implementing automation testing,AWS;Docker;PostgreSQL,Web API
V00004,R00036,borderline,0.141936,0.0,0.057743,0.4,0.45,Backend Software Developer,Fullstack Web Developer,"- present Intelos (Tel Aviv, Israel) Web FrontEnd Developer",AWS;Docker;PostgreSQL,MongoDB;Web API
V00004,R00001,borderline,0.141931,0.0,0.051724,0.0,0.86,Backend Software Developer,Java full stack developer,"2020 - now: Backend JAVA developer, (Israel, Rehovot)",AWS;Docker;PostgreSQL,MongoDB;jQuery
V00004,R00039,borderline,0.140187,0.0,0.050746,0.4,0.45,Backend Software Developer,Back-end Developer,PHP Developer (9 month),AWS;Docker;PostgreSQL,Web API
V00004,R00007,borderline,0.139405,0.0,0.047619,0.4,0.45,Backend Software Developer,Frontend Developer - 8 years experience,"- Britannica (Tel Aviv, Israel) Web Front End Developer",AWS;Docker;PostgreSQL,MongoDB;Web API;jQuery
V00004,R00014,borderline,0.139376,0.0,0.047506,0.4,0.45,Backend Software Developer,"developer, namely studying interaction of HTML, CSS and JavaScript.","developer, namely studying interaction of HTML, CSS and JavaScript.",AWS;Docker;PostgreSQL,MS SQL
V00004,R00055,random_negative,0.081494,0.0,0.025974,0.4,0.1,Backend Software Developer,"C++ Developer, Python Developer","C++ Developer, Python Developer",AWS;Docker;PostgreSQL,
V00004,R00041,random_negative,0.075044,0.0,0.054176,0.0,0.41,Backend Software Developer,"To gain expirience in hi-tech related role, as Java Developer, System Software Developer, and in a few years to reach a",Role: Java Developer student.,AWS;Docker;PostgreSQL,MongoDB
V00004,R00006,random_negative,0.046489,0.0,0.065957,0.0,0.2,Backend Software Developer,Senior solution architect with wide experience of creating and maintaining IT systems. Deep knowledge of,"C#, JavaScript, SQL, PHP and many other technologies; 10+ experience in Microsoft technologies. I've",AWS;Docker;PostgreSQL,.NET;ASP.NET;C#;MS SQL;jQuery
V00004,R00002,random_negative,0.039021,0.0,0.036082,0.0,0.2,Backend Software Developer,WEB FRONTEND DEVELOPER,"2021-present: Frontend developer (remote, part-time)",AWS;Docker;PostgreSQL,jQuery
V00004,R00065,random_negative,0.038581,0.0,0.034325,0.0,0.2,Backend Software Developer,Frontend developer,"Programming languages: JavaScript ES6+, familiar with Java, C#, C++/C.",AWS;Docker;PostgreSQL,ASP.NET;C#
V00004,R00026,random_negative,0.036508,0.0,0.02603,0.0,0.2,Backend Software Developer,"HackerRank: SQL Certificate, 2021 Stepik: Basic Statistics, 2021 Coursera: Apache Spark (TM) SQL for Data Analysts, 2021",Outsourcing data analyst,AWS;Docker;PostgreSQL,
V00004,R00019,top,0.510517,0.666667,0.062069,0.4,0.9,Backend Software Developer,Senior Software Developer (cid:205),"Pro-level Backend development [Python/Django/asyncio/PyTest, PostgreSQL, Docker]",AWS;Docker;PostgreSQL,Docker;PostgreSQL
V00004,R00013,top,0.503512,0.925,0.049046,0.4,0.1,Backend Software Developer,Full-Stack Developer,WORK Tanndu Full Stack Developer ( now),AWS;Docker;PostgreSQL,AWS;Docker;MongoDB;PostgreSQL
V00004,R00008,top,0.483401,0.616667,0.043605,0.4,0.9,Backend Software Developer,Senior Software Engineer (Java/Kotlin Backend Developer),"Master's degree, Engineering and Technology",AWS;Docker;PostgreSQL,Docker;Kafka;PostgreSQL
V00004,R00051,top,0.427158,0.586667,0.052632,0.0,1.0,Backend Software Developer,Full Stack Developer (Golang / JS / TS),"as a Full Stack Developer, the backend language is Golang, also",AWS;Docker;PostgreSQL,Docker;MongoDB;PostgreSQL;Web API
V00004,R00056,top,0.427142,0.541667,0.043568,0.95,0.2,Backend Software Developer,LEONID SHALAEV FULL STACK DEVELOPER with 1+ year experience,"Programming languages: Java, JavaScript, TypeScript, C#, C++, PHP, Pascal, Assembler, VBA",AWS;Docker;PostgreSQL,C#;Docker;Kafka;MongoDB;PostgreSQL;Web API;jQuery
V00004,R00042,top,0.408398,0.552381,0.069307,0.4,0.55,Backend Software Developer,Junior Java backend developer,Engineer Ural State University of Economics,AWS;Docker;PostgreSQL,.NET;AWS;C#;Docker;Entity Framework;WPF
V00004,R00034,top,0.399482,0.566667,0.061927,0.0,0.86,Backend Software Developer,JAVA BACKEND DEVELOPER WITH 3 YEARS OF HANDS-ON EXPERIENCE,"Looking for the next place to apply my skills and experience, i.e. for a full time back-end developer position",AWS;Docker;PostgreSQL,Docker;Kafka;MongoDB;PostgreSQL;Web API
V00004,R00020,top,0.38892,0.666667,0.055679,0.4,0.1,Backend Software Developer,Golang Developer,"Architecture:MVC, MVP, MVVM, SOLID, ACID, OOP, Goproject layout",AWS;Docker;PostgreSQL,Docker;PostgreSQL
V00005,R00061,borderline,0.081119,0.0,0.024476,0.4,0.1,Software Developer,Front-end developer 6 year experience,"Apr 2020Jun 2020 Masa working program at Samson Logic, Israel, Tel-Aviv Full stack Developer",C#,MongoDB;jQuery
V00005,R00057,borderline,0.081098,0.0,0.02439,0.4,0.1,Software Developer,FRONTEND WEB DEVELOPER.,Frontend Web Developer,C#,Docker
V00005,R00037,borderline,0.080837,0.0,0.023346,0.4,0.1,Software Developer,Junior C++ developer,Docker Junior C++ developer,C#,Docker
V00005,R00040,borderline,0.080703,0.0,0.022814,0.4,0.1,Software Developer,"Experience in the full cycle of creating web applications: architecture, server, code,","Experience in the full cycle of creating web applications: architecture, server, code,",C#,Docker;PostgreSQL
V00005,R00013,borderline,0.080639,0.0,0.022556,0.4,0.1,Software Developer,Full-Stack Developer,WORK Tanndu Full Stack Developer ( now),C#,AWS;Docker;MongoDB;PostgreSQL
V00005,R00027,borderline,0.080335,0.0,0.021341,0.4,0.1,Software Developer,"2022, February Senior Software Developer (Python)","2022, February Senior Software Developer (Python)",C#,Docker;Kafka;MongoDB;PostgreSQL
V00005,R00032,random_negative,0.028158,0.0,0.052632,0.0,0.1,Software Developer,"I'm a business analyst with 6,5 years of experience in the software industry and 4,5 years",(Moscow Engineering Physics Institute),C#,Web API
V00005,R00035,random_negative,0.025,0.0,0.04,0.0,0.1,Software Developer,FULL STACK JAVA DEVELOPER,"Software Architecture: OOP, JSON, REST, Design Patterns, CI-CD, Microservices, Dependency Injection",C#,Kafka;MongoDB;PostgreSQL;jQuery
V00005,R00041,random_negative,0.024531,0.0,0.038123,0.0,0.1,Software Developer,"To gain expirience in hi-tech related role, as Java Developer, System Software Developer, and in a few years to reach a",Role: Java Developer student.,C#,MongoDB
V00005,R00059,random_negative,0.023964,0.0,0.035857,0.0,0.1,Software Developer,"C/C++ Developer, Python Developer",Mathematical Software,C#,
V00005,R00009,random_negative,0.023475,0.0,0.033898,0.0,0.1,Software Developer,"Frontend developer with extensive experience designing, developing, implementing, and","maintaining software used in sales, rental apartments, e-commerce, and human resources.",C#,Docker;PostgreSQL;jQuery
V00005,R00002,random_negative,0.021206,0.0,0.024823,0.0,0.1,Software Developer,WEB FRONTEND DEVELOPER,"2021-present: Frontend developer (remote, part-time)",C#,jQuery
V00005,R00003,top,0.59339,1.0,0.063559,0.4,0.45,Software Developer,"Experience in C, C++ and C# programming",Skilled in understanding software security concepts and application compliance with security standards like,C#,C#
V00005,R00056,top,0.556382,0.742857,0.048387,0.95,0.45,Software Developer,LEONID SHALAEV FULL STACK DEVELOPER with 1+ year experience,"Programming languages: Java, JavaScript, TypeScript, C#, C++, PHP, Pascal, Assembler, VBA",C#,C#;Docker;Kafka;MongoDB;PostgreSQL;Web API;jQuery
V00005,R00015,top,0.529627,1.0,0.048507,0.0,0.45,Software Developer,"Professional skills: SQL (Oracle), PL/SQL, C#, Python","Professional skills: SQL (Oracle), PL/SQL, C#, Python",C#,C#
V00005,R00049,top,0.520163,0.85,0.04065,0.4,0.45,Software Developer,"Junior Java Developer, Backend","Java Core, C#, C++, WPF, Spring Boot, SQL, Git.",C#,C#;WPF
V00005,R00047,top,0.520121,0.85,0.040486,0.4,0.45,Software Developer,"Java Developer, Backend","Java Core, C#, C++, WPF, Spring Boot, SQL, Git.",C#,C#;WPF
V00005,R00029,top,0.517273,0.85,0.029091,0.4,0.45,Software Developer,Mobile Developer with 3 years experience,"Programming languages: Java, Kotlin, Swift, C#",C#,C#;Web API
V00005,R00042,top,0.47777,0.75,0.051081,0.4,0.45,Software Developer,Junior Java backend developer,Engineer Ural State University of Economics,C#,.NET;AWS;C#;Docker;Entity Framework;WPF
V00005,R00018,top,0.466904,0.733333,0.037618,0.4,0.45,Software Developer,", Senior .NET Engineer, ""","Full Stack Engineer, , Jerusalem, Israel",C#,.NET;ASP.NET;AWS;Azure;C#;Entity Framework;MS SQL;MongoDB;Web API
